# Simulation 4 (Up to date)
# 528 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.542,159.205,73.09,-26.283,73.423,26.363,12.5,-2.943e-5,12.5,-1.349e-4,6.983,2.048,45,1.592e-4,9.806,0.001,1.41e-4,-2.923,1.167,60.459,12.3,9.486e-4,9.82e-6,31.955,23.959,3.198,0.217,2.093e6,0,1.004,0.625,0.625,0.431,0.067,0.126,2.73e-4,0.001,-1.802e-4,0,0,0,0,-3.763e-5,2.5,4.909,82.964,-6.942e-4,2.13,13.965,994.578,339.762,0.044,0.229
2.577,161.747,72.178,-25.898,72.508,25.955,12.743,-3.166e-5,12.743,-1.424e-4,6.911,1.719,45,1.623e-4,9.806,0.055,1.752e-4,-1.959,0.024,60.459,12.3,9.486e-4,9.82e-6,31.938,23.959,3.192,0.214,2.066e6,0,0.978,0.624,0.624,0.431,0.067,0.126,0.011,0.036,1.906e-4,0,0,0,0,-1.734e-5,2.5,4.909,82.846,-0.002,2.066,13.949,994.28,339.752,0.035,0.229
2.615,164.52,71.184,-25.422,71.513,25.491,13.009,-3.475e-5,13.009,-1.53e-4,6.852,1.874,45,1.657e-4,9.806,0.014,2.134e-4,2.531,0.134,60.459,12.3,9.486e-4,9.82e-6,31.95,23.959,3.196,0.211,2.037e6,0,0.951,0.624,0.624,0.431,0.067,0.126,0.003,0.009,2.104e-4,0,0,0,0,2.974e-5,2.5,4.909,82.845,0.005,2.011,13.931,993.955,339.741,0.039,0.23
2.661,167.745,70.036,-24.88,70.361,24.966,13.32,-3.323e-5,13.32,-1.43e-4,6.759,2.078,45,1.696e-4,9.806,0.04,2.518e-4,2.058,-0.01,60.459,12.3,9.486e-4,9.82e-6,31.942,23.959,3.193,0.208,2.004e6,0,0.92,0.624,0.624,0.432,0.067,0.126,0.008,0.027,-2.757e-4,0,0,0,0,2.031e-5,2.5,4.909,82.937,0.005,2.007,13.91,993.576,339.728,0.046,0.23
2.699,170.384,69.1,-24.486,69.422,24.56,13.575,-2.854e-5,13.575,-1.205e-4,6.678,1.895,45,1.729e-4,9.806,0.012,2.105e-4,1.915,0.082,60.459,12.3,9.486e-4,9.82e-6,31.95,23.959,3.196,0.205,1.977e6,0,0.895,0.624,0.624,0.432,0.067,0.125,0.002,0.008,-2.041e-4,0,0,0,0,1.806e-5,2.5,4.909,82.887,-0.004,1.979,13.893,993.267,339.718,0.038,0.231
2.749,173.809,67.888,-23.984,68.207,24.045,13.907,-2.758e-5,13.907,-1.136e-4,6.588,1.72,45,1.771e-4,9.806,0.017,2.251e-4,-1.034,0.008,60.459,12.3,9.486e-4,9.82e-6,31.947,23.959,3.195,0.201,1.942e6,0,0.863,0.623,0.623,0.432,0.066,0.125,0.004,0.012,-1.305e-4,0,0,0,0,-5.457e-6,2.5,4.909,82.753,-0.002,2.018,13.87,992.865,339.704,0.05,0.232
2.799,177.173,66.701,-23.47,67.018,23.536,14.234,-2.897e-5,14.234,-1.166e-4,6.508,1.765,45,1.813e-4,9.806,0.005,2.088e-4,-0.41,-0.013,60.459,12.3,9.486e-4,9.82e-6,31.95,23.959,3.196,0.198,1.908e6,0,0.833,0.623,0.623,0.432,0.066,0.125,0.001,0.003,-4.536e-4,0,0,0,0,-8.864e-7,2.5,4.909,82.711,0.006,1.99,13.848,992.471,339.691,0.05,0.232
2.849,180.479,65.54,-22.98,65.854,23.051,14.557,-2.448e-5,14.557,-9.634e-5,6.417,1.813,45,1.854e-4,9.806,0.027,2.059e-4,2.796,0.2,60.459,12.3,9.486e-4,9.82e-6,31.943,23.959,3.194,0.195,1.874e6,0,0.804,0.623,0.623,0.432,0.066,0.125,0.006,0.018,-3.522e-5,0,0,0,0,4.277e-5,2.5,4.909,82.698,-0.003,2.042,13.827,992.083,339.678,0.05,0.233
2.899,183.728,64.403,-22.545,64.713,22.6,14.876,-2.426e-5,14.876,-9.343e-5,6.326,1.58,45,1.894e-4,9.806,0.021,1.45e-4,-2.485,0.126,60.459,12.3,9.486e-4,9.82e-6,31.944,23.959,3.194,0.191,1.842e6,0,0.776,0.623,0.623,0.432,0.066,0.125,0.004,0.014,2.013e-5,0,0,0,0,-3.497e-5,2.5,4.909,82.56,-0.005,2.089,13.806,991.702,339.665,0.05,0.234
2.949,186.92,63.287,-22.097,63.595,22.153,15.19,-2.855e-5,15.19,-1.077e-4,6.249,1.572,45,1.934e-4,9.806,0.014,2.714e-4,-1.149,-0.101,60.459,12.3,9.486e-4,9.82e-6,31.946,23.959,3.195,0.188,1.81e6,0,0.749,0.622,0.622,0.432,0.066,0.125,0.003,0.009,-8.469e-5,0,0,0,0,-7.741e-6,2.5,4.909,82.426,0.01,2.125,13.785,991.327,339.653,0.05,0.234
2.999,190.057,62.193,-21.655,62.498,21.719,15.501,-2.106e-5,15.501,-7.786e-5,6.171,1.654,45,1.974e-4,9.806,0.017,1.717e-4,1.766,0.199,60.459,12.3,9.486e-4,9.82e-6,31.944,23.959,3.194,0.185,1.779e6,0,0.723,0.622,0.622,0.432,0.066,0.124,0.004,0.011,-2.217e-4,0,0,0,0,1.893e-5,2.5,4.909,82.369,0.004,2.173,13.765,990.96,339.64,0.05,0.235
3.049,193.14,61.121,-21.246,61.423,21.308,15.807,-1.35e-5,15.807,-4.892e-5,6.085,1.625,45,2.013e-4,9.806,0.017,2.532e-4,3.485,-0.085,60.459,12.3,9.486e-4,9.82e-6,31.944,23.959,3.194,0.182,1.748e6,0,0.699,0.622,0.622,0.432,0.066,0.124,0.004,0.011,3.359e-4,0,0,0,0,7.624e-5,2.5,4.909,82.267,-0.006,2.263,13.745,990.598,339.628,0.05,0.235
3.099,196.169,60.067,-20.879,60.368,20.923,16.109,-1.177e-5,16.109,-4.187e-5,6.013,1.359,45,2.052e-4,9.806,0.045,2.827e-4,-0.407,0.007,60.459,12.3,9.486e-4,9.82e-6,31.935,23.959,3.19,0.179,1.718e6,0,0.674,0.622,0.622,0.432,0.065,0.124,0.009,0.03,-1.185e-4,0,0,0,0,-1.074e-6,2.5,4.909,82.123,1.211e-4,2.223,13.725,990.243,339.616,0.05,0.236
3.149,199.147,59.033,-20.465,59.332,20.524,16.408,-9.395e-6,16.408,-3.28e-5,5.943,1.567,45,2.09e-4,9.806,0.025,2.746e-4,1.241,0.01,60.459,12.3,9.486e-4,9.82e-6,31.94,23.959,3.192,0.176,1.688e6,0,0.651,0.621,0.621,0.432,0.065,0.124,0.005,0.017,2.587e-5,0,0,0,0,1.035e-5,2.5,4.909,82.095,0.006,2.269,13.706,989.893,339.604,0.05,0.236
3.199,202.073,58.02,-20.101,58.315,20.157,16.704,-2.042e-6,16.704,-7.004e-6,5.864,1.497,45,2.127e-4,9.806,0.015,2.626e-4,2.014,0.095,60.459,12.3,9.486e-4,9.82e-6,31.943,23.959,3.193,0.173,1.659e6,0,0.629,0.621,0.621,0.432,0.065,0.124,0.003,0.011,-3.187e-5,0,0,0,0,2.824e-5,2.5,4.909,82.043,-0.001,2.282,13.687,989.55,339.593,0.05,0.237
3.249,204.949,57.023,-19.769,57.317,19.809,16.995,3.02e-6,16.995,1.018e-5,5.796,1.267,45,2.164e-4,9.806,0.04,2.713e-4,0.03,0.02,60.459,12.3,9.486e-4,9.82e-6,31.934,23.959,3.19,0.17,1.63e6,0,0.607,0.621,0.621,0.432,0.065,0.124,0.008,0.027,2.763e-4,0,0,0,0,6.621e-9,2.5,4.909,81.958,-0.003,2.199,13.668,989.213,339.582,0.05,0.237
3.299,207.775,56.043,-19.407,56.336,19.454,17.283,5.395e-6,17.283,1.789e-5,5.735,1.348,45,2.201e-4,9.806,5.973e-4,2.892e-4,0,0,60.459,12.3,9.486e-4,9.82e-6,31.946,23.959,3.195,0.167,1.602e6,0,0.586,0.621,0.621,0.432,0.065,0.124,1.241e-4,5.598e-4,4.15e-4,0,0,0,0,0,2.5,4.909,81.983,0.001,2.141,13.649,988.881,339.57,0.05,0.238
3.349,210.553,55.081,-19.065,55.372,19.114,17.568,8.338e-6,17.568,2.719e-5,5.667,1.367,45,2.237e-4,9.806,0.023,2.583e-4,-0.337,-0.008,60.459,12.3,9.486e-4,9.82e-6,31.939,23.959,3.192,0.164,1.574e6,0,0.566,0.621,0.621,0.432,0.065,0.123,0.005,0.015,-4.911e-4,0,0,0,0,-8.77e-7,2.5,4.909,82.042,0.003,2.066,13.631,988.556,339.56,0.05,0.239
3.399,213.284,54.137,-18.738,54.425,18.79,17.85,1.275e-5,17.85,4.094e-5,5.593,1.398,45,2.273e-4,9.806,0.045,2.333e-4,2.359,0.019,60.459,12.3,9.486e-4,9.82e-6,31.932,23.959,3.189,0.161,1.547e6,0,0.547,0.62,0.62,0.432,0.065,0.123,0.009,0.03,7.998e-5,0,0,0,0,4.448e-5,2.5,4.909,82.006,-5.02e-4,2.084,13.614,988.235,339.549,0.05,0.239
3.449,215.967,53.208,-18.446,53.494,18.49,18.128,1.626e-5,18.128,5.139e-5,5.522,1.276,45,2.309e-4,9.806,0.01,2.926e-4,4.171,0.211,60.459,12.3,9.486e-4,9.82e-6,31.942,23.959,3.193,0.158,1.521e6,0,0.528,0.62,0.62,0.432,0.065,0.123,0.002,0.007,-2.528e-4,0,0,0,0,1.438e-4,2.5,4.909,81.816,-0.002,2.156,13.596,987.921,339.538,0.05,0.24
3.499,218.605,52.292,-18.175,52.577,18.207,18.402,1.781e-5,18.402,5.546e-5,5.464,1.079,45,2.344e-4,9.806,0.054,3.231e-4,-2.785,-0.021,60.459,12.3,9.486e-4,9.82e-6,31.928,23.959,3.187,0.156,1.495e6,0,0.51,0.62,0.62,0.432,0.065,0.123,0.011,0.036,1.265e-4,0,0,0,0,-6.634e-5,2.5,4.909,81.596,0.001,2.19,13.579,987.611,339.528,0.05,0.241
3.549,221.197,51.392,-17.844,51.675,17.9,18.674,2.06e-5,18.674,6.321e-5,5.402,1.408,45,2.378e-4,9.806,0.071,2.536e-4,4.94,0.009,60.459,12.3,9.486e-4,9.82e-6,31.923,23.959,3.185,0.153,1.47e6,0,0.493,0.62,0.62,0.432,0.065,0.123,0.015,0.047,4.197e-4,0,0,0,0,2.157e-4,2.5,4.909,81.437,0.003,2.42,13.562,987.307,339.518,0.05,0.241
3.599,223.744,50.505,-17.63,50.787,17.654,18.943,2.517e-5,18.943,7.613e-5,5.345,0.932,45,2.412e-4,9.806,0.101,2.426e-4,-1.586,-3.754e-4,60.459,12.3,9.486e-4,9.82e-6,31.913,23.959,3.181,0.15,1.444e6,0,0.476,0.62,0.62,0.432,0.064,0.123,0.021,0.067,4.303e-4,0,0,0,0,-2.302e-5,2.5,4.909,81.238,-1.988e-4,2.321,13.546,987.009,339.508,0.05,0.242
3.638,225.731,49.81,-17.401,50.093,17.43,19.154,2.807e-5,19.154,8.396e-5,5.309,1.011,45,2.439e-4,9.806,0.063,2.523e-4,0.158,-0.006,60.459,12.3,9.486e-4,9.82e-6,31.924,23.959,3.186,0.148,1.424e6,0,0.463,0.62,0.62,0.432,0.064,0.123,0.013,0.041,-5.058e-6,0,0,0,0,2.363e-7,2.5,4.909,81.2,-0.003,2.339,13.533,986.776,339.5,0.04,0.242
3.688,228.2,48.948,-17.109,49.229,17.149,19.418,2.896e-5,19.418,8.546e-5,5.253,1.169,45,2.473e-4,9.806,0.018,2.637e-4,-0.193,-0.004,60.459,12.3,9.486e-4,9.82e-6,31.938,23.959,3.191,0.146,1.4e6,0,0.447,0.62,0.62,0.432,0.064,0.123,0.004,0.012,6.806e-5,0,0,0,0,-3.622e-7,2.5,4.909,81.252,-0.001,2.303,13.517,986.486,339.49,0.05,0.243
3.738,230.626,48.1,-16.81,48.379,16.874,19.679,2.956e-5,19.679,8.608e-5,5.185,1.469,45,2.506e-4,9.805,0.157,2.996e-4,2.769,-0.013,60.459,12.3,9.486e-4,9.82e-6,31.894,23.959,3.174,0.143,1.376e6,0,0.432,0.619,0.619,0.433,0.064,0.123,0.033,0.104,-5.118e-5,0,0,0,0,7.727e-5,2.5,4.909,81.225,0.005,2.404,13.501,986.201,339.48,0.05,0.243
3.769,232.064,47.598,-16.677,47.874,16.732,19.834,3.167e-5,19.834,9.148e-5,5.14,1.361,45,2.526e-4,9.805,0.118,2.648e-4,6.483,-0.017,60.459,12.3,9.486e-4,9.82e-6,31.906,23.959,3.179,0.142,1.362e6,0,0.423,0.619,0.619,0.433,0.064,0.123,0.025,0.078,3.881e-4,0,0,0,0,4.322e-4,2.5,4.909,81.081,0.005,2.434,13.492,986.033,339.475,0.03,0.244
3.814,234.193,46.849,-16.55,47.125,16.567,20.064,3.697e-5,20.064,1.056e-4,5.092,0.761,45,2.555e-4,9.805,0.144,2.353e-4,-5.586,-0.009,60.459,12.3,9.486e-4,9.82e-6,31.898,23.959,3.175,0.14,1.34e6,0,0.41,0.619,0.619,0.433,0.064,0.123,0.03,0.096,-4.363e-4,0,0,0,0,-3.312e-4,2.5,4.909,80.765,0.003,2.386,13.478,985.783,339.466,0.045,0.244
3.85,235.887,46.248,-16.431,46.526,16.436,20.249,4.22e-5,20.249,1.194e-4,5.074,0.409,45,2.579e-4,9.805,0.3,2.617e-4,0.009,0.006,60.459,12.3,9.486e-4,9.82e-6,31.85,23.959,3.156,0.138,1.323e6,0,0.399,0.619,0.619,0.433,0.064,0.122,0.063,0.198,1.631e-4,0,0,0,0,0,2.5,4.909,80.646,0.002,2.275,13.467,985.584,339.46,0.036,0.245
3.869,236.767,45.935,-16.315,46.214,16.325,20.346,4.507e-5,20.346,1.269e-4,5.065,0.566,45,2.591e-4,9.805,0.225,2.516e-4,3.478,0.006,60.459,12.3,9.486e-4,9.82e-6,31.872,23.959,3.165,0.137,1.314e6,0,0.394,0.619,0.619,0.433,0.064,0.122,0.047,0.149,5.982e-5,0,0,0,0,1.335e-4,2.5,4.909,80.684,0.002,2.286,13.461,985.481,339.456,0.019,0.245
3.897,238.054,45.479,-16.114,45.757,16.145,20.488,4.939e-5,20.488,1.381e-4,5.043,0.999,45,2.609e-4,9.805,0.01,2.764e-4,5.394,-0.048,60.459,12.3,9.486e-4,9.82e-6,31.939,23.959,3.192,0.136,1.301e6,0,0.386,0.619,0.619,0.433,0.064,0.122,0.002,0.006,3.249e-4,0,0,0,0,3.275e-4,2.5,4.909,80.822,0.001,2.303,13.453,985.33,339.451,0.028,0.246
3.939,239.96,44.804,-15.869,45.081,15.925,20.7,5.575e-5,20.7,1.543e-4,4.991,1.339,45,2.636e-4,9.805,0.178,2.649e-4,-2.325,-0.003,60.459,12.3,9.486e-4,9.82e-6,31.886,23.959,3.171,0.134,1.281e6,0,0.375,0.619,0.619,0.433,0.064,0.122,0.037,0.118,-4.417e-4,0,0,0,0,-6.267e-5,2.5,4.909,81.012,3.29e-4,2.261,13.44,985.107,339.444,0.042,0.246
3.972,241.396,44.295,-15.719,44.57,15.78,20.86,6.032e-5,20.86,1.657e-4,4.945,1.385,45,2.657e-4,9.805,0.218,2.52e-4,1.549,0.012,60.459,12.3,9.486e-4,9.82e-6,31.874,23.959,3.166,0.132,1.267e6,0,0.366,0.619,0.619,0.433,0.064,0.122,0.045,0.144,-2.185e-4,0,0,0,0,2.847e-5,2.5,4.909,81.026,-7.738e-5,2.228,13.431,984.938,339.438,0.032,0.247
4.002,242.719,43.825,-15.616,44.098,15.662,21.008,6.43e-5,21.008,1.754e-4,4.906,1.205,45,2.675e-4,9.805,0.137,2.291e-4,4.781,-4.666e-6,60.459,12.3,9.486e-4,9.82e-6,31.899,23.959,3.176,0.131,1.253e6,0,0.358,0.619,0.619,0.433,0.064,0.122,0.029,0.09,3.769e-4,0,0,0,0,2.77e-4,2.5,4.909,80.921,4.479e-4,2.204,13.422,984.783,339.433,0.03,0.247
4.047,244.678,43.125,-15.458,43.397,15.492,21.228,7e-5,21.228,1.889e-4,4.855,1.029,45,2.703e-4,9.805,0.049,2.436e-4,7.2,0.012,60.459,12.3,9.486e-4,9.82e-6,31.926,23.959,3.187,0.129,1.234e6,0,0.347,0.619,0.619,0.433,0.064,0.122,0.01,0.032,-1.846e-4,0,0,0,0,6.48e-4,2.5,4.909,80.628,0.001,2.303,13.41,984.553,339.425,0.045,0.248
4.097,246.815,42.354,-15.359,42.627,15.363,21.47,7.605e-5,21.47,2.03e-4,4.824,0.367,45,2.734e-4,9.805,0.302,2.202e-4,-2.19,-0.007,60.459,12.3,9.486e-4,9.82e-6,31.847,23.959,3.155,0.126,1.211e6,0,0.335,0.619,0.619,0.433,0.064,0.122,0.063,0.2,1.568e-4,0,0,0,0,-6.22e-5,2.5,4.909,80.326,-0.002,2.121,13.396,984.303,339.417,0.05,0.248
4.117,247.683,42.038,-15.298,42.313,15.3,21.569,7.814e-5,21.569,2.076e-4,4.82,0.24,45,2.747e-4,9.805,0.372,2.46e-4,1.201,-0.006,60.459,12.3,9.486e-4,9.82e-6,31.826,23.959,3.147,0.126,1.202e6,0,0.33,0.619,0.619,0.433,0.064,0.122,0.078,0.245,-4.35e-4,0,0,0,0,1.899e-5,2.5,4.909,80.309,-0.002,2.078,13.39,984.201,339.413,0.021,0.249
4.138,248.528,41.73,-15.195,42.007,15.199,21.667,7.981e-5,21.667,2.111e-4,4.814,0.363,45,2.759e-4,9.805,0.299,2.389e-4,4.828,8.675e-4,60.459,12.3,9.486e-4,9.82e-6,31.848,23.959,3.156,0.125,1.193e6,0,0.325,0.618,0.619,0.433,0.064,0.122,0.063,0.198,3.226e-4,0,0,0,0,3.114e-4,2.5,4.909,80.373,-0.002,2.042,13.385,984.102,339.41,0.02,0.25
4.163,249.594,41.342,-15.039,41.62,15.054,21.79,8.15e-5,21.79,2.143e-4,4.801,0.671,45,2.775e-4,9.805,0.112,2.464e-4,7.637,-0.021,60.459,12.3,9.486e-4,9.82e-6,31.906,23.959,3.179,0.123,1.182e6,0,0.319,0.618,0.618,0.433,0.064,0.122,0.023,0.073,8.711e-5,0,0,0,0,7.936e-4,2.5,4.909,80.54,-0.001,2.007,13.378,983.977,339.406,0.026,0.251
4.202,251.174,40.768,-14.814,41.046,14.858,21.974,8.346e-5,21.974,2.176e-4,4.764,1.147,45,2.798e-4,9.805,0.192,2.903e-4,-6.212,-0.028,60.459,12.3,9.486e-4,9.82e-6,31.881,23.959,3.168,0.122,1.166e6,0,0.31,0.618,0.618,0.433,0.064,0.122,0.04,0.128,3.732e-4,0,0,0,0,-5.398e-4,2.5,4.909,80.833,4.696e-4,1.971,13.367,983.792,339.4,0.038,0.251
4.239,252.683,40.22,-14.649,40.495,14.708,22.151,8.529e-5,22.151,2.206e-4,4.716,1.306,45,2.821e-4,9.805,0.313,2.46e-4,-1.371,7.596e-4,60.459,12.3,9.486e-4,9.82e-6,31.843,23.959,3.154,0.12,1.15e6,0,0.302,0.618,0.618,0.433,0.064,0.122,0.066,0.207,-4.978e-4,0,0,0,0,-2.703e-5,2.5,4.909,80.983,0.002,1.903,13.358,983.615,339.394,0.037,0.252
4.264,253.68,39.856,-14.563,40.13,14.619,22.268,8.682e-5,22.268,2.234e-4,4.684,1.268,45,2.836e-4,9.805,0.304,2.491e-4,2.496,0.006,60.459,12.3,9.486e-4,9.82e-6,31.846,23.959,3.155,0.119,1.139e6,0,0.296,0.618,0.618,0.433,0.064,0.122,0.064,0.201,-4.944e-4,0,0,0,0,9.121e-5,2.5,4.909,80.965,0.002,1.871,13.351,983.498,339.39,0.025,0.253
4.291,254.77,39.457,-14.493,39.73,14.533,22.396,8.882e-5,22.396,2.272e-4,4.651,1.079,45,2.852e-4,9.805,0.197,2.263e-4,5.831,-0.002,60.459,12.3,9.486e-4,9.82e-6,31.879,23.959,3.168,0.118,1.128e6,0,0.29,0.618,0.618,0.433,0.064,0.122,0.041,0.13,-2.789e-4,0,0,0,0,5.079e-4,2.5,4.909,80.843,0.002,1.847,13.344,983.37,339.385,0.027,0.253
4.333,256.383,38.862,-14.403,39.135,14.421,22.587,9.217e-5,22.587,2.338e-4,4.615,0.735,45,2.876e-4,9.805,0.019,2.811e-4,-7.15,-0.018,60.459,12.3,9.486e-4,9.82e-6,31.934,23.959,3.19,0.116,1.111e6,0,0.281,0.618,0.618,0.433,0.064,0.122,0.004,0.013,7.01e-5,0,0,0,0,-7.87e-4,2.5,4.909,80.551,3.725e-4,1.833,13.334,983.181,339.379,0.041,0.254
4.383,258.308,38.145,-14.25,38.419,14.265,22.817,9.597e-5,22.817,2.41e-4,4.584,0.649,45,2.906e-4,9.805,0.075,2.679e-4,-4.862,-3.11e-4,60.459,12.3,9.486e-4,9.82e-6,31.916,23.959,3.183,0.114,1.091e6,0,0.272,0.618,0.618,0.433,0.064,0.122,0.016,0.05,2.54e-4,0,0,0,0,-3.771e-4,2.5,4.909,80.227,-0.002,1.919,13.321,982.955,339.371,0.05,0.254
4.433,260.197,37.436,-14.093,37.712,14.106,23.045,9.856e-5,23.045,2.45e-4,4.552,0.621,45,2.935e-4,9.805,0.091,2.603e-4,-3.942,0.011,60.459,12.3,9.486e-4,9.82e-6,31.911,23.959,3.181,0.112,1.071e6,0,0.262,0.618,0.618,0.433,0.063,0.122,0.019,0.06,3.581e-4,0,0,0,0,-2.571e-4,2.5,4.909,80.008,-0.003,1.982,13.309,982.733,339.364,0.05,0.255
4.483,262.052,36.735,-13.956,37.013,13.964,23.272,9.93e-5,23.272,2.445e-4,4.524,0.472,45,2.964e-4,9.805,0.187,2.345e-4,-1.369,0.024,60.459,12.3,9.486e-4,9.82e-6,31.881,23.959,3.169,0.11,1.051e6,0,0.252,0.618,0.618,0.433,0.063,0.122,0.039,0.123,-3.983e-4,0,0,0,0,-3.219e-5,2.5,4.909,79.889,-0.002,1.898,13.297,982.516,339.357,0.05,0.255
4.533,263.871,36.042,-13.756,36.321,13.775,23.498,9.891e-5,23.498,2.412e-4,4.498,0.714,45,2.992e-4,9.805,0.01,2.457e-4,-2.076,0.079,60.459,12.3,9.486e-4,9.82e-6,31.936,23.959,3.191,0.108,1.032e6,0,0.243,0.618,0.618,0.433,0.063,0.122,0.002,0.007,2.215e-4,0,0,0,0,-7.682e-5,2.5,4.909,79.933,0.003,1.901,13.285,982.302,339.35,0.05,0.256
4.583,265.656,35.359,-13.576,35.638,13.605,23.721,9.984e-5,23.721,2.412e-4,4.455,0.883,45,3.021e-4,9.805,0.163,2.464e-4,0.843,-0.013,60.459,12.3,9.486e-4,9.82e-6,31.888,23.959,3.171,0.106,1.012e6,0,0.234,0.618,0.618,0.433,0.063,0.121,0.034,0.108,-2.716e-4,0,0,0,0,1.314e-5,2.5,4.909,79.985,0.006,1.911,13.273,982.093,339.342,0.05,0.257
4.633,267.407,34.684,-13.434,34.963,13.461,23.943,1.033e-4,23.943,2.473e-4,4.41,0.852,45,3.049e-4,9.805,0.159,2.379e-4,3.685,0.002,60.459,12.3,9.486e-4,9.82e-6,31.889,23.959,3.172,0.104,9.931e5,0,0.225,0.618,0.618,0.433,0.063,0.121,0.033,0.105,2.415e-5,0,0,0,0,2.61e-4,2.5,4.909,79.871,0.004,1.892,13.262,981.888,339.336,0.05,0.257
4.683,269.124,34.016,-13.293,34.295,13.321,24.163,1.085e-4,24.163,2.574e-4,4.368,0.859,45,3.077e-4,9.805,0.178,2.24e-4,6.165,0.025,60.459,12.3,9.486e-4,9.82e-6,31.883,23.959,3.169,0.102,9.747e5,0,0.217,0.618,0.618,0.433,0.063,0.121,0.037,0.117,1.171e-4,0,0,0,0,7.583e-4,2.5,4.909,79.604,5.749e-4,1.982,13.251,981.686,339.329,0.05,0.258
4.733,270.809,33.353,-13.217,33.633,13.227,24.38,1.135e-4,24.38,2.668e-4,4.331,0.516,45,3.105e-4,9.805,0.113,2.462e-4,-8.28,0.043,60.459,12.3,9.486e-4,9.82e-6,31.903,23.959,3.177,0.1,9.559e5,0,0.208,0.618,0.618,0.433,0.063,0.121,0.023,0.076,4.255e-4,0,0,0,0,-0.001,2.5,4.909,79.212,-0.003,1.956,13.24,981.489,339.322,0.05,0.258
4.783,272.46,32.695,-13.105,32.978,13.111,24.596,1.164e-4,24.596,2.711e-4,4.312,0.413,45,3.132e-4,9.805,0.204,2.801e-4,-3.987,0.005,60.459,12.3,9.486e-4,9.82e-6,31.874,23.959,3.166,0.098,9.375e5,0,0.201,0.618,0.618,0.433,0.063,0.121,0.043,0.135,-9.381e-5,0,0,0,0,-3.427e-4,2.5,4.909,78.895,-0.006,1.967,13.229,981.295,339.316,0.05,0.258
4.833,274.078,32.043,-12.979,32.329,12.985,24.811,1.166e-4,24.811,2.692e-4,4.291,0.386,45,3.16e-4,9.805,0.222,2.422e-4,-1.518,0.024,60.459,12.3,9.486e-4,9.82e-6,31.869,23.959,3.164,0.096,9.192e5,0,0.193,0.617,0.618,0.433,0.063,0.121,0.046,0.147,4.965e-4,0,0,0,0,-5.167e-5,2.5,4.909,78.763,-0.003,1.945,13.218,981.105,339.309,0.05,0.259
4.883,275.664,31.397,-12.839,31.686,12.847,25.025,1.153e-4,25.025,2.639e-4,4.271,0.437,45,3.187e-4,9.805,0.155,2.492e-4,1.788,0.013,60.459,12.3,9.486e-4,9.82e-6,31.889,23.959,3.172,0.094,9.006e5,0,0.185,0.617,0.617,0.433,0.063,0.121,0.032,0.103,-3.908e-4,0,0,0,0,7.465e-5,2.5,4.909,78.794,0.001,1.858,13.208,980.919,339.303,0.05,0.259
4.933,277.218,30.759,-12.664,31.051,12.683,25.238,1.146e-4,25.238,2.602e-4,4.244,0.707,45,3.214e-4,9.805,0.145,2.536e-4,-2.534,0.006,60.459,12.3,9.486e-4,9.82e-6,31.892,23.959,3.173,0.092,8.828e5,0,0.178,0.617,0.617,0.433,0.063,0.121,0.03,0.096,-3.331e-4,0,0,0,0,-1.56e-4,2.5,4.909,78.927,0.005,1.862,13.198,980.737,339.297,0.05,0.26
4.983,278.74,30.13,-12.514,30.422,12.544,25.449,1.158e-4,25.449,2.608e-4,4.202,0.874,45,3.241e-4,9.805,0.353,2.62e-4,1.672,0.008,60.459,12.3,9.486e-4,9.82e-6,31.828,23.959,3.147,0.091,8.652e5,0,0.171,0.617,0.618,0.433,0.063,0.121,0.074,0.233,-8.44e-5,0,0,0,0,7.067e-5,2.5,4.909,78.961,0.004,1.882,13.188,980.558,339.291,0.05,0.26
5.021,279.891,29.65,-12.416,29.942,12.45,25.61,1.179e-4,25.61,2.638e-4,4.167,0.928,45,3.261e-4,9.805,0.433,2.532e-4,5.503,0.008,60.459,12.3,9.486e-4,9.82e-6,31.803,23.959,3.138,0.089,8.519e5,0,0.166,0.617,0.618,0.433,0.063,0.121,0.091,0.285,5.055e-6,0,0,0,0,7.894e-4,2.5,4.909,78.82,0.002,1.927,13.181,980.424,339.286,0.038,0.261
